query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD,first_ans_custom_Cache,num_ans_custom_Cache,lookup_time_custom_Cache
tuhafhaberler.com,1,1,,0,57,,0,10575,,0,10534,,0,10651
rtsab.com,1,1,,0,442,,0,10284,,0,10137,,0,14449
i-butterfly.ru,1,1,104.21.88.172,2,357,104.21.88.172,2,1218,104.21.88.172,2,1347,172.67.151.138,2,1137
datepanchang.com,1,1,13.75.66.141,1,446,13.75.66.141,1,648,13.75.66.141,1,585,13.75.66.141,1,536
localhost.re,1,1,172.67.163.57,2,634,104.21.50.127,2,1240,172.67.163.57,2,944,104.21.50.127,2,831
daehepharma.com,1,1,,0,734,,0,14119,,0,14153,,0,11493
ex-jw.org,1,1,185.230.63.171,3,432,185.230.63.107,3,6067,185.230.63.171,3,5940,185.230.63.171,3,6068
us.tf,1,1,,0,738,,0,13001,,0,12803,,0,11718
informarexresistere.fr,1,1,178.32.143.165,1,790,178.32.143.165,1,1472,178.32.143.165,1,1309,178.32.143.165,1,1379
running-sigi.de,1,1,,0,32,,0,5352,,0,5272,,0,1897
buynowfromusa.com,1,1,35.223.118.1,1,1293,35.223.118.1,1,647,35.223.118.1,1,669,35.223.118.1,1,5656
pbprofile.com,1,1,,0,223,,0,10692,,0,10694,,0,10991
fini.net,1,1,198.57.192.137,1,444,198.57.192.137,1,883,198.57.192.137,1,878,198.57.192.137,1,1059
globalpoliticalspectrum.com,1,1,,0,214,,0,10806,,0,10592,,0,10883
41latitude.com,1,1,,0,254,,0,13444,,0,13562,,0,11618
zzxu.cn,1,1,,0,551,,0,10175,,0,10237,,0,10194
energybulbs.co.uk,1,1,23.227.38.32,1,562,23.227.38.32,1,1677,23.227.38.32,1,1626,23.227.38.32,1,6081
o-ov.com,1,1,,0,434,,0,14222,,0,14665,,0,12094
lozo.com,1,1,107.21.144.47,2,325,34.192.96.224,2,536,34.192.96.224,2,649,34.192.96.224,2,5683
tottenhamhk.com,1,1,,0,237,,0,10667,,0,10689,,0,10673
newstetic.com,1,1,104.21.3.241,2,338,172.67.131.89,2,691,104.21.3.241,2,562,104.21.3.241,2,5685
triggerfish.se,1,1,162.159.135.42,2,543,162.159.135.42,2,547,162.159.135.42,2,571,162.159.135.42,2,621
reprosystems.ru,1,1,,0,432,104.21.59.11,2,1209,172.67.167.102,2,1177,172.67.167.102,2,1290
interfloracentral.co.uk,1,1,217.69.32.44,1,243,217.69.32.44,1,1477,217.69.32.44,1,1311,217.69.32.44,1,1063
afairjudgement.com,1,1,104.21.56.56,2,334,172.67.178.132,2,587,104.21.56.56,2,752,104.21.56.56,2,437
owlcreek.com,1,1,205.178.189.129,1,1471,205.178.189.129,1,890,205.178.189.129,1,771,205.178.189.129,1,942
radioterminal.ru,1,1,188.225.40.161,1,998,188.225.40.161,1,752,188.225.40.161,1,668,188.225.40.161,1,719
junio.com,1,1,209.196.144.25,1,494,209.196.144.25,1,961,209.196.144.25,1,952,209.196.144.25,1,5963
ditrblog.com,1,1,,0,189,,0,10657,,0,10800,,0,11093
alchemedialtd.com,1,1,68.66.224.29,1,36,68.66.224.29,1,561,68.66.224.29,1,864,68.66.224.29,1,727
portclydegeneralstore.com,1,1,198.49.23.144,4,497,198.185.159.144,4,754,198.185.159.144,4,774,198.49.23.145,4,773
alenpuaca.com,1,1,67.205.28.253,1,747,67.205.28.253,1,951,67.205.28.253,1,842,67.205.28.253,1,592
dj-producer-j-mbargo.com,1,1,,0,248,,0,10648,,0,10667,,0,11242
iag-inc.com,1,1,,0,4960,,0,10762,,0,10887,,0,10906
advertos.ru,1,1,45.92.176.75,1,779,45.92.176.75,1,2221,45.92.176.75,1,1507,45.92.176.75,1,1366
kh.ua,1,1,195.69.185.211,1,1180,195.69.185.211,1,905,195.69.185.211,1,738,195.69.185.211,1,789
kennethehartman.com,1,1,192.0.78.25,2,433,192.0.78.24,2,532,192.0.78.24,2,675,192.0.78.24,2,5636
