name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
i-butterfly.ru,1,0,0,1.1913213729858398,6,1.194885015487671,,,2
i-butterfly.ru,1,1,0,1.324981927871704,6,1.3275418281555176,,,2
i-butterfly.ru,1,0,1,0.7831192016601562,4,1.1191675662994385,2,3,2
datepanchang.com,1,0,0,0.6194262504577637,3,0.6227798461914062,,,1
datepanchang.com,1,1,0,0.5606510639190674,3,0.5627264976501465,,,1
datepanchang.com,1,0,1,0.2045300006866455,1,0.5169880390167236,2,0,1
localhost.re,1,0,0,1.217700481414795,6,1.2213096618652344,,,2
localhost.re,1,1,0,0.9231891632080078,6,0.9251422882080078,,,2
localhost.re,1,0,1,0.7089009284973145,4,0.8127048015594482,2,3,2
ex-jw.org,1,0,0,1.038539171218872,6,6.046710729598999,,,3
ex-jw.org,1,1,0,0.91640305519104,6,5.920679807662964,,,3
ex-jw.org,1,0,1,0.8005144596099854,4,6.049509048461914,2,3,3
informarexresistere.fr,1,0,0,1.4506466388702393,6,1.4532577991485596,,,1
informarexresistere.fr,1,1,0,1.2887639999389648,6,1.2907283306121826,,,1
informarexresistere.fr,1,0,1,0.8363661766052246,4,1.3600819110870361,2,3,1
running-sigi.de,1,0,0,5.3231024742126465,22,5.333112478256226,,,0
running-sigi.de,1,1,0,5.243844509124756,22,5.253237962722778,,,0
running-sigi.de,1,0,1,1.6664903163909912,7,1.878058910369873,6,6,0
buynowfromusa.com,1,0,0,0.6266212463378906,3,0.6286435127258301,,,1
buynowfromusa.com,1,1,0,0.6489875316619873,3,0.650890588760376,,,1
buynowfromusa.com,1,0,1,0.6286382675170898,3,5.636507511138916,1,2,1
fini.net,1,0,0,0.8630971908569336,3,0.864229679107666,,,1
fini.net,1,1,0,0.8572871685028076,3,0.8584814071655273,,,1
fini.net,1,0,1,0.3088066577911377,1,1.0394320487976074,2,0,1
energybulbs.co.uk,1,0,0,1.6552791595458984,6,1.658332347869873,,,1
energybulbs.co.uk,1,1,0,1.6042919158935547,6,1.6068532466888428,,,1
energybulbs.co.uk,1,0,1,1.0529329776763916,5,6.062149286270142,2,4,1
lozo.com,1,0,0,0.5156903266906738,3,0.5174524784088135,,,2
lozo.com,1,1,0,0.6279110908508301,3,0.6292424201965332,,,2
lozo.com,1,0,1,0.6565485000610352,3,5.663543462753296,1,2,2
newstetic.com,1,0,0,0.6709542274475098,3,0.6720800399780273,,,2
newstetic.com,1,1,0,0.5429580211639404,3,0.5439953804016113,,,2
newstetic.com,1,0,1,0.657501220703125,3,5.665153741836548,1,2,2
triggerfish.se,1,0,0,0.5261869430541992,3,0.5271379947662354,,,2
triggerfish.se,1,1,0,0.5519037246704102,3,0.5528857707977295,,,2
triggerfish.se,1,0,1,0.2034459114074707,1,0.603421688079834,2,0,2
reprosystems.ru,1,0,0,1.1861119270324707,6,1.1894237995147705,,,2
reprosystems.ru,1,1,0,1.1533899307250977,6,1.1568636894226074,,,2
reprosystems.ru,1,0,1,0.2436678409576416,1,1.2696564197540283,2,0,2
interfloracentral.co.uk,1,0,0,1.4542644023895264,6,1.4579825401306152,,,1
interfloracentral.co.uk,1,1,0,1.2898144721984863,6,1.2917752265930176,,,1
interfloracentral.co.uk,1,0,1,0.2059175968170166,1,1.0442090034484863,2,0,1
afairjudgement.com,1,0,0,0.5677661895751953,3,0.5687737464904785,,,2
afairjudgement.com,1,1,0,0.7307643890380859,3,0.731964111328125,,,2
